Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
3175 /marketplaces/otcqx,100,588,372,1118,244.00,0.00%,3.6,203.58,57176.0
3176 /addyn/3.0/5303.1/3209808/0/16/ADTECH;loc=100;target=_blank;misc=%5BTIMESTAMP%5D;rdclick=%5BCLICKMACRO%5D,100,166,0,445,85.12,33.00%,3.7,4.74,1314.8
3177 /addyn/3.0/5303.1/2799329/0/169/ADTECH;loc=100;target=_blank;key=key1+key2+key3+key4;grp=%5Bgroup%5D;misc=1431974023749,100,218,74,389,101.17,0.00%,3.7,8.98,2503.2
3179 /otciq/ajax/getAggregateWombatTradesForAllTierGroup.json,100,85,37,182,43.43,0.00%,3.7,6.60,1838.4
3178 /gtm.js,100,153,57,222,26.84,0.00%,3.7,57.95,16182.0
3181 /adi/N84001.325081OTCMARKETS.COM/B8443801.114637053;sz=1x1;ord=%5Btimestamp%5D,100,149,70,566,53.47,0.00%,3.7,16.03,4472.7
3183 /common/CountSecuritiesByTierGroup.json,100,98,38,214,48.97,0.00%,3.7,2.59,723.0
3182 /otciq/ajax/getMarketTotals.jsonx,100,100,36,231,50.09,0.00%,3.7,1.83,508.9
3187 /pixel;r=1706859472;a=p-B1ry_R3CQS6M9;fpan=0;fpa=P0-605369517-1431627681416;ns=0;ce=1;cm=;je=1;sr=1600x900x24;enc=n;dst=1;et=1431974026270;tzo=240;ref=;url=http%3A%2F%2Fwww.otcmarkets.com%2Fmarketplaces%2Fotcqx;ogl=,100,241,108,3370,347.56,0.00%,3.7,1.69,474.0
3180 /jump/N84001.325081OTCMARKETS.COM/B8443801.114637053;sz=1x1;ord=974023613,100,414,279,622,63.15,0.00%,3.6,3.60,1021.0
3186 /dc.js,100,212,57,768,142.78,0.00%,3.6,57.89,16256.0
3185 /analytics/1431974100000/142654.js,100,260,70,3471,349.21,0.00%,3.7,81.90,22938.0
3188 /gen_204,100,120,61,235,38.25,0.00%,3.7,1.39,388.0
3189 /__utm.gif,100,115,48,370,48.19,0.00%,3.7,1.46,408.0
3184 /content.otcmarkets.com/quote_search/list.gz,100,989,309,5157,759.52,0.00%,3.5,1093.86,321653.0
3191 /ads/fif.jsp,100,111,40,227,42.76,0.00%,3.5,3.27,951.9
3190 /ads/fif.jsp,100,101,42,241,38.94,0.00%,3.5,3.27,950.0
3192 /ads/fif.jsp,100,104,39,358,52.38,0.00%,3.5,3.29,950.0
3195 /addyn%7C3.0%7C5303%7C2799309%7C0%7C170%7CADTECH;loc=300;key=key1%20key2%20key3%20key4;group=%5Bgroup%5D;misc=1431974026949,100,453,147,872,208.84,0.00%,3.5,4.25,1227.4
3197 /usersync,100,509,0,1529,561.13,100.00%,3.6,12.27,3491.7
3196 /adi/N84001.325081OTCMARKETS.COM/B8443801.114208811;sz=300x250;click=http%3A//adserver.adtechus.com/adlink%7C5303%7C2799309%7C0%7C170%7CAdId%3D6848284%3BBnId%3D1%3Bitime%3D974024659%3Bkey%3Dkey1%2520key2%2520key3%2520key4%3Blink%3D;ord=974024659,100,128,67,429,56.48,0.00%,3.8,19.87,5410.0
3198 /getuid,100,315,0,1086,334.47,50.00%,3.8,9.21,2493.2
3199 /ads/studio/cached_libs/modernizr_2.8.3_ec185bb44fe5e6bf7455d6e8ef37ed0e_no-classes.js,100,177,62,3119,420.34,0.00%,3.9,17.89,4672.0
3200 /usersync,100,606,362,3515,517.24,0.00%,3.8,5.66,1509.1
3201 /pagead/js/lidar.js,100,137,60,407,41.07,0.00%,3.9,84.35,22198.0
3193 /addyn%7C3.0%7C5303%7C2799310%7C0%7C170%7CADTECH;loc=300;key=key1%20key2%20key3%20key4;group=%5Bgroup%5D;misc=1431974026930,100,391,137,948,224.45,0.00%,3.9,4.65,1227.0
3194 /addyn%7C3.0%7C5303%7C2799330%7C0%7C225%7CADTECH;loc=300;key=key1%20key2%20key3%20key4;group=%5Bgroup%5D;misc=1431974026937,100,410,134,920,213.98,0.00%,3.8,4.16,1114.9
3202 /adscores/g.pixel,100,427,313,3356,310.32,0.00%,3.8,4.74,1280.2
3205 /usersync,100,709,448,4012,572.10,100.00%,3.6,17.09,4894.9
3206 /adperf%7C2.0%7C5303%7C2799330%7C0%7C225%7CAdId=6768114;BnId=2;ct=1863761344;st=513161;ku=0;ccid=1;scid=1045932;iid=0;zcid=17390;subnid=1;camnid=5303;camsubnid=1;bnnr=24311686;ctlen=869;,100,44,0,128,44.21,50.00%,3.6,4.01,1126.7
3204 /adi/N84001.325081OTCMARKETS.COM/B8443801.114208811;sz=300x250;click=http%3A//adserver.adtechus.com/adlink%7C5303%7C2799310%7C0%7C170%7CAdId%3D6848284%3BBnId%3D1%3Bitime%3D974024624%3Bkey%3Dkey1%2520key2%2520key3%2520key4%3Blink%3D;ord=974024624,100,100,67,415,47.05,0.00%,3.6,19.21,5403.6
3203 /4601119/OE_RichOffer_BROK_Offer_P_O_Desktop_300x250.swf,100,99,42,418,60.65,0.00%,3.6,90.85,25596.0
3209 /getuid,100,699,449,4036,486.21,0.00%,3.5,10.02,2909.5
3208 /pixel/6633/,100,324,248,1057,107.15,0.00%,3.5,2.69,794.1
3210 /ads/studio/cached_libs/modernizr_2.8.3_ec185bb44fe5e6bf7455d6e8ef37ed0e_no-classes.js,100,81,51,171,17.38,0.00%,3.5,15.97,4672.4
3211 /usersync,100,523,384,3529,320.32,0.00%,3.4,5.03,1509.4
3212 /usersync,100,69,35,353,37.74,0.00%,3.4,0.40,120.0
3213 /adscores/g.pixel,100,483,336,3805,476.89,0.00%,3.4,4.23,1280.3
3214 /4601119/OE_FC_RET_Guidance_P_NO_Desktop_300x250.swf,100,83,41,353,50.23,0.00%,3.4,93.01,27851.0
3215 /pixel/6633/,100,322,250,686,55.68,0.00%,3.4,2.62,794.0
3207 /j,100,426,252,703,102.36,0.00%,3.4,9.10,2767.9
3217 /i/0RpqGPYQWx_1432393692.html,100,103,37,374,38.43,0.00%,3.4,4.16,1250.6
3218 /pixel.gif,100,100,36,349,43.47,0.00%,3.4,1.06,318.0
3219 /usersync,100,806,541,3898,365.65,100.00%,3.3,15.97,4895.0
3220 /ct/creative_add_on.js,100,62,0,214,63.20,49.00%,3.4,7.07,2125.2
3222 /pixel.gif,100,94,46,160,24.99,0.00%,3.4,1.06,318.0
3223 /getuid,100,814,527,3993,358.84,0.00%,3.3,9.50,2909.6
3221 /adi/N5092.158901.DATAXU/B8439703.114097533;dcopt=anid;sz=728x90;click=http://i.w55c.net/cl,100,132,78,229,27.57,0.00%,3.4,13.96,4216.7
3224 /surly.js,100,126,54,523,57.23,0.00%,3.4,5.62,1694.0
3225 /usersync,100,609,403,1043,131.53,0.00%,3.3,4.90,1509.7
3227 /ct/cms-2c.html,100,116,38,323,38.44,0.00%,3.4,8.82,2675.0
3231 /pixel/smt,100,0,0,60,6.37,100.00%,3.4,6.06,1833.9
3228 /adscores/g.pixel,100,524,289,933,108.45,0.00%,3.3,4.19,1280.3
3226 /viewad/1885707/MINI-2726_Convertible_BRAND_728x90_ban_150209100_ff.gif,100,115,37,455,44.32,0.00%,3.4,93.02,27997.0
3229 /a/n/292/2532.js,100,109,31,386,50.40,0.00%,3.4,5.27,1584.0
3230 /sync,100,261,66,429,82.01,0.00%,3.4,1.76,528.0
3232 /red/usync,100,176,35,3470,342.39,0.00%,3.4,1.87,569.0
3233 /pixel/6633/,100,399,221,744,74.56,0.00%,3.4,2.61,794.1
3234 /sync,100,114,30,456,47.50,0.00%,3.4,1.05,317.0
3236 /ct/0_0_0Cmvg0Z1IT_2532/us/0/1/0/0/0/0/728/90/242/292/0/pixel.gif,100,131,26,232,45.47,0.00%,3.4,0.17,51.0
3235 /usersync,100,115,24,373,45.73,0.00%,3.4,0.40,120.0
3237 /content/canAuthor.json,100,199,79,3184,301.98,0.00%,3.4,2.06,616.7
3238 /1/c816f66e51,100,156,42,257,45.70,0.00%,3.4,0.73,217.9
3239 /content/getPageText.json,100,125,39,230,34.01,0.00%,3.4,10.90,3238.4
3243 /content/getPageText.json,100,190,74,522,78.60,0.00%,3.4,14.84,4405.7
3242 /content/getPageText.json,100,129,38,436,60.92,0.00%,3.5,6.76,1997.4
3240 /content/getPageText.json,100,124,38,452,48.45,0.00%,3.5,5.82,1716.4
3241 /common/IsExternalUser,100,128,41,392,54.45,0.00%,3.5,1.94,570.0
3245 /__ptq.gif,100,144,27,514,81.02,0.00%,3.5,0.94,275.0
3244 /__utm.gif,100,135,36,462,56.87,0.00%,3.5,1.40,408.0
3247 /pixel.gif,100,134,24,554,84.81,0.00%,3.5,1.09,318.0
3246 /activeview,100,150,52,442,47.91,0.00%,3.5,1.73,503.0
3248 /pixel.gif,100,120,26,214,40.39,0.00%,3.5,1.10,318.0
3249 /pagead/gen_204,100,140,47,334,41.42,0.00%,3.5,1.56,451.0
3250 /activeview,100,160,53,442,55.79,0.00%,3.6,1.75,503.0
3251 /pixel.gif,100,120,25,458,55.75,0.00%,3.6,1.11,318.0
3252 /pixel.gif,100,116,25,181,40.37,0.00%,3.6,1.12,318.0
3253 /pixel.gif,100,122,27,184,41.24,0.00%,3.6,1.12,318.0
3254 /pixel.gif,100,119,24,366,49.56,0.00%,3.6,1.12,318.0
3255 /pixel.gif,100,120,25,406,59.12,0.00%,3.6,1.13,318.0
3256 /pixel.gif,100,115,25,284,45.54,0.00%,3.7,1.14,318.0
3257 /pagead/gen_204,100,134,47,269,44.52,0.00%,3.7,1.62,451.0
3258 /pixel.gif,100,112,25,432,53.60,0.00%,3.7,1.15,318.0
3259 /pixel.gif,100,114,25,414,51.85,0.00%,3.7,1.15,318.0
3260 /activeview,100,138,52,434,53.59,0.00%,3.7,1.83,503.0
3261 /activeview,100,142,52,304,49.84,0.00%,3.7,1.84,503.0
TOTAL,8600,233,0,5157,286.61,6.77%,187.9,1390.01,7576.5
